source_plot,split,instance_id,safe_reject,coverage_critical,counted_negative,redundant_positive,protected_unknown
A1N,train,1,False,True,False,False,False
A1N,train,2,False,True,False,False,False
A1N,train,3,True,False,True,False,False
A1N,train,4,False,True,False,False,False
A1N,train,5,True,False,True,False,False
A1N,train,6,False,True,False,False,False
A1N,train,7,False,True,False,False,False
A1N,train,8,False,True,False,False,False
A1N,train,9,False,True,False,False,False
A1N,train,10,False,True,False,False,False
A1N,train,11,False,True,False,False,False
A1N,train,12,False,True,False,False,False
A1N,train,13,False,True,False,False,False
A1N,train,14,False,True,False,False,False
A1N,train,15,False,True,False,False,False
A1N,train,16,False,True,False,False,False
A1N,train,17,False,True,False,False,False
A1N,train,18,False,True,False,False,False
A1N,train,19,False,True,False,False,False
A1N,train,20,False,True,False,False,False
A1N,train,21,False,True,False,False,False
A1N,train,22,False,True,False,False,False
A1N,train,23,False,True,False,False,False
A1N,train,24,False,True,False,False,False
A1N,train,25,False,True,False,False,False
A1N,train,26,False,True,False,False,False
A1N,train,27,False,True,False,False,False
A1N,train,28,False,True,False,False,False
A1N,train,29,False,True,False,False,False
A1N,train,30,False,True,False,False,False
A1N,train,31,False,True,False,False,False
A1N,train,32,False,True,False,False,False
A1N,train,33,False,True,False,False,False
A1N,train,34,False,True,False,False,False
A1N,train,35,False,True,False,False,False
A1N,train,36,False,True,False,False,False
A1N,train,37,False,True,False,False,False
A1N,train,38,False,True,False,False,False
A1N,train,39,False,True,False,False,False
A1N,train,40,False,True,False,False,False
A1N,train,41,False,True,False,False,False
A1N,train,42,False,True,False,False,False
A1N,train,43,False,True,False,False,False
A1N,train,44,False,True,False,False,False
A1N,train,45,False,True,False,False,False
A1N,train,46,False,True,False,False,False
A1N,train,47,True,False,True,False,False
A1N,train,48,False,True,False,False,False
A1N,train,49,False,True,False,False,False
A1N,train,50,True,False,True,False,False
A1N,train,51,False,True,False,False,False
A1N,train,52,False,True,False,False,False
A1N,train,53,False,True,False,False,False
A1N,train,54,False,True,False,False,False
A1N,train,55,False,True,False,False,False
A1N,train,56,False,True,False,False,False
A1N,train,57,False,True,False,False,False
A1N,train,58,False,True,False,False,False
A1N,train,59,False,True,False,False,False
A1N,train,60,False,False,False,False,True
A1N,train,61,False,True,False,False,False
A1N,train,62,False,True,False,False,False
A1N,train,63,False,True,False,False,False
A1N,train,64,False,True,False,False,False
A1N,train,65,False,True,False,False,False
A1N,train,66,False,True,False,False,False
A1N,train,67,False,False,False,False,True
A1N,train,68,True,False,True,False,False
A1N,train,69,False,False,False,False,True
A1N,train,70,True,False,True,False,False
A1N,train,71,False,True,False,False,False
A1N,train,72,False,True,False,False,False
A1N,train,73,False,True,False,False,False
A1N,train,74,False,True,False,False,False
A1N,train,75,False,True,False,False,False
A1N,train,76,False,True,False,False,False
A1N,train,77,False,True,False,False,False
A1N,train,78,False,True,False,False,False
A1N,train,79,False,True,False,False,False
A1N,train,80,False,True,False,False,False
A1N,train,81,False,True,False,False,False
A1N,train,82,False,True,False,False,False
A1N,train,83,False,True,False,False,False
A1N,train,84,False,True,False,False,False
A1N,train,85,False,True,False,False,False
A1N,train,86,False,True,False,False,False
A1N,train,87,False,True,False,False,False
A1N,train,88,True,False,True,False,False
A1N,train,89,False,True,False,False,False
A1N,train,90,False,True,False,False,False
A1N,train,91,False,True,False,False,False
A1N,train,92,False,True,False,False,False
A1N,train,93,False,True,False,False,False
A1N,train,94,False,True,False,False,False
A1N,train,95,False,True,False,False,False
A1N,train,96,False,True,False,False,False
A1N,train,97,False,False,False,False,True
A1N,train,98,False,True,False,False,False
A1N,train,99,False,True,False,False,False
A1N,train,100,False,True,False,False,False
A1N,train,101,False,True,False,False,False
A1N,train,102,False,True,False,False,False
A1N,train,103,False,True,False,False,False
A1N,train,104,False,True,False,False,False
A1N,train,105,False,True,False,False,False
A1N,train,106,False,True,False,False,False
A1N,train,107,False,True,False,False,False
A1N,train,108,False,True,False,False,False
A1N,train,109,False,True,False,False,False
A1N,train,110,False,True,False,False,False
A1N,train,111,False,True,False,False,False
A1N,train,112,False,True,False,False,False
A1N,train,113,False,True,False,False,False
A1N,train,114,False,True,False,False,False
A1N,train,115,False,True,False,False,False
A1N,train,116,False,True,False,False,False
A1N,train,117,False,True,False,False,False
A1N,train,118,False,True,False,False,False
A1N,train,119,False,True,False,False,False
A1N,train,120,False,True,False,False,False
A1N,train,121,False,True,False,False,False
A1N,train,122,False,True,False,False,False
A1N,train,123,False,True,False,False,False
A1N,train,124,False,True,False,False,False
A1N,train,125,False,True,False,False,False
A1N,train,126,False,True,False,False,False
A1N,train,127,False,True,False,False,False
A1N,train,128,False,True,False,False,False
A1N,train,129,False,True,False,False,False
A1N,train,130,False,True,False,False,False
A1N,train,131,False,True,False,False,False
A1N,train,132,True,False,True,False,False
A1N,train,133,False,True,False,False,False
A1N,train,134,False,True,False,False,False
A1N,train,135,False,True,False,False,False
A1N,train,136,False,True,False,False,False
A1N,train,137,False,True,False,False,False
A1N,train,138,False,True,False,False,False
A1N,train,139,False,True,False,False,False
A1N,train,140,False,True,False,False,False
A1N,train,141,False,True,False,False,False
A1N,train,142,False,True,False,False,False
A1N,train,143,False,True,False,False,False
A1N,train,144,False,True,False,False,False
A1N,train,145,False,True,False,False,False
A1N,train,146,False,True,False,False,False
A1N,train,147,False,True,False,False,False
A1N,train,148,True,False,True,False,False
A1N,train,149,False,True,False,False,False
A1N,train,150,False,True,False,False,False
A1N,train,151,False,True,False,False,False
A1N,train,152,False,True,False,False,False
A1N,train,153,True,False,True,False,False
A1N,train,154,False,True,False,False,False
A1N,train,155,False,True,False,False,False
A1N,train,156,False,True,False,False,False
A1N,train,157,False,True,False,False,False
A1N,train,158,False,True,False,False,False
A1N,train,159,False,True,False,False,False
A1N,train,160,False,True,False,False,False
A1N,train,161,False,True,False,False,False
A1N,train,162,False,True,False,False,False
A1N,train,163,False,True,False,False,False
A1N,train,164,False,True,False,False,False
A1N,train,165,False,True,False,False,False
A1N,train,166,False,True,False,False,False
A1N,train,167,False,True,False,False,False
A1N,train,168,False,True,False,False,False
A1N,train,169,False,True,False,False,False
A1N,train,170,False,True,False,False,False
A1N,train,171,False,True,False,False,False
A1N,train,172,False,True,False,False,False
A1N,train,173,True,False,True,False,False
A1N,train,174,False,True,False,False,False
A1N,train,175,False,True,False,False,False
A1N,train,176,False,True,False,False,False
A1N,train,177,True,False,True,False,False
A1N,train,178,False,True,False,False,False
A1N,train,179,False,True,False,False,False
A1N,train,180,False,True,False,False,False
A1N,train,181,False,False,False,False,True
A1N,train,182,False,False,False,False,True
A1N,train,183,False,True,False,False,False
A1N,train,184,False,True,False,False,False
A1N,train,185,False,True,False,False,False
A1N,train,186,False,True,False,False,False
A1N,train,187,False,True,False,False,False
A1N,train,188,False,True,False,False,False
A1N,train,189,False,True,False,False,False
A1N,train,190,False,True,False,False,False
A1N,train,191,False,True,False,False,False
A1N,train,192,False,True,False,False,False
A1N,train,193,False,True,False,False,False
A1N,train,194,False,True,False,False,False
A1N,train,195,False,True,False,False,False
A1N,train,196,False,True,False,False,False
A1N,train,197,False,True,False,False,False
A1N,train,198,False,True,False,False,False
A1N,train,199,False,True,False,False,False
A1N,train,200,True,False,True,False,False
A1N,train,201,False,True,False,False,False
A1N,train,202,False,True,False,False,False
A1N,train,203,False,True,False,False,False
A1N,train,204,False,True,False,False,False
A1N,train,205,False,True,False,False,False
A1N,train,206,True,False,True,False,False
A1N,train,207,False,True,False,False,False
A1N,train,208,False,True,False,False,False
A1N,train,209,False,True,False,False,False
A1N,train,210,False,True,False,False,False
A1N,train,211,True,False,True,False,False
A1N,train,212,True,False,True,False,False
A1N,train,213,True,False,True,False,False
A1N,train,214,False,True,False,False,False
A1N,train,215,False,True,False,False,False
A1N,train,216,False,True,False,False,False
A1N,train,217,True,False,True,False,False
A1N,train,218,False,True,False,False,False
A1N,train,219,False,True,False,False,False
A1N,train,220,False,True,False,False,False
