model,seed,source_plot,num_instances,reject_budget,safe_rejected,critical_rejected,unknown_rejected,baseline_f1,filtered_f1,filtered_completeness,filtered_commission
quality_iou_control,42,G4N,364,54,47,2,5,0.8992,0.96875,0.9928825622775801,0.05423728813559322
quality_iou_control,42,G4W,653,97,81,7,9,0.927461139896373,0.9906542056074766,0.9869646182495344,0.005628517823639775
quality_iou_control,42,L1N,685,102,102,0,0,0.7849954254345837,0.8657921291624622,1.0,0.23665480427046262
quality_iou_control,42,O1N,190,28,27,0,1,0.9009009009009009,0.9803921568627451,1.0,0.038461538461538464
quality_iou_control,42,O1W,703,105,105,0,0,0.5029103608847497,0.5729442970822282,1.0,0.5985130111524164
quality_iou_control,43,G4N,364,54,47,1,6,0.8992,0.9705372616984402,0.99644128113879,0.05405405405405406
quality_iou_control,43,G4W,653,97,81,9,7,0.927461139896373,0.9887640449438202,0.9832402234636871,0.005649717514124294
quality_iou_control,43,L1N,685,102,102,0,0,0.7849954254345837,0.8657921291624622,1.0,0.23665480427046262
quality_iou_control,43,O1N,190,28,27,0,1,0.9009009009009009,0.9803921568627451,1.0,0.038461538461538464
quality_iou_control,43,O1W,703,105,105,0,0,0.5029103608847497,0.5729442970822282,1.0,0.5985130111524164
quality_iou_control,44,G4N,364,54,47,2,5,0.8992,0.96875,0.9928825622775801,0.05423728813559322
quality_iou_control,44,G4W,653,97,81,7,9,0.927461139896373,0.9906542056074766,0.9869646182495344,0.005628517823639775
quality_iou_control,44,L1N,685,102,102,0,0,0.7849954254345837,0.8657921291624622,1.0,0.23665480427046262
quality_iou_control,44,O1N,190,28,27,0,1,0.9009009009009009,0.9803921568627451,1.0,0.038461538461538464
quality_iou_control,44,O1W,703,105,105,0,0,0.5029103608847497,0.5729442970822282,1.0,0.5985130111524164
safe_iou_control,42,G4N,364,54,48,2,4,0.8992,0.9704347826086956,0.9928825622775801,0.05102040816326531
safe_iou_control,42,G4W,653,97,81,8,8,0.927461139896373,0.9897100093545369,0.9851024208566108,0.005639097744360902
safe_iou_control,42,L1N,685,102,102,0,0,0.7849954254345837,0.8657921291624622,1.0,0.23665480427046262
safe_iou_control,42,O1N,190,28,27,0,1,0.9009009009009009,0.9803921568627451,1.0,0.038461538461538464
safe_iou_control,42,O1W,703,105,105,0,0,0.5029103608847497,0.5729442970822282,1.0,0.5985130111524164
safe_iou_control,43,G4N,364,54,48,1,5,0.8992,0.9722222222222222,0.99644128113879,0.05084745762711865
safe_iou_control,43,G4W,653,97,80,9,8,0.927461139896373,0.9878391019644528,0.9832402234636871,0.007518796992481203
safe_iou_control,43,L1N,685,102,102,0,0,0.7849954254345837,0.8657921291624622,1.0,0.23665480427046262
safe_iou_control,43,O1N,190,28,27,0,1,0.9009009009009009,0.9803921568627451,1.0,0.038461538461538464
safe_iou_control,43,O1W,703,105,105,0,0,0.5029103608847497,0.5729442970822282,1.0,0.5985130111524164
safe_iou_control,44,G4N,364,54,47,1,6,0.8992,0.9705372616984402,0.99644128113879,0.05405405405405406
safe_iou_control,44,G4W,653,97,81,8,8,0.927461139896373,0.9897100093545369,0.9851024208566108,0.005639097744360902
safe_iou_control,44,L1N,685,102,102,0,0,0.7849954254345837,0.8657921291624622,1.0,0.23665480427046262
safe_iou_control,44,O1N,190,28,27,0,1,0.9009009009009009,0.9803921568627451,1.0,0.038461538461538464
safe_iou_control,44,O1W,703,105,105,0,0,0.5029103608847497,0.5729442970822282,1.0,0.5985130111524164
coverage_cvar,42,G4N,364,54,46,3,5,0.8992,0.9652777777777778,0.9893238434163701,0.0576271186440678
coverage_cvar,42,G4W,653,97,81,8,8,0.927461139896373,0.9897100093545369,0.9851024208566108,0.005639097744360902
coverage_cvar,42,L1N,685,102,102,0,0,0.7849954254345837,0.8657921291624622,1.0,0.23665480427046262
coverage_cvar,42,O1N,190,28,27,0,1,0.9009009009009009,0.9803921568627451,1.0,0.038461538461538464
coverage_cvar,42,O1W,703,105,105,0,0,0.5029103608847497,0.5729442970822282,1.0,0.5985130111524164
coverage_cvar,43,G4N,364,54,47,2,5,0.8992,0.96875,0.9928825622775801,0.05423728813559322
coverage_cvar,43,G4W,653,97,81,8,8,0.927461139896373,0.9897100093545369,0.9851024208566108,0.005639097744360902
coverage_cvar,43,L1N,685,102,102,0,0,0.7849954254345837,0.8657921291624622,1.0,0.23665480427046262
coverage_cvar,43,O1N,190,28,27,0,1,0.9009009009009009,0.9803921568627451,1.0,0.038461538461538464
coverage_cvar,43,O1W,703,105,105,0,0,0.5029103608847497,0.5729442970822282,1.0,0.5985130111524164
coverage_cvar,44,G4N,364,54,46,2,6,0.8992,0.9670710571923743,0.9928825622775801,0.057432432432432436
coverage_cvar,44,G4W,653,97,81,9,7,0.927461139896373,0.9887640449438202,0.9832402234636871,0.005649717514124294
coverage_cvar,44,L1N,685,102,102,0,0,0.7849954254345837,0.8657921291624622,1.0,0.23665480427046262
coverage_cvar,44,O1N,190,28,27,0,1,0.9009009009009009,0.9803921568627451,1.0,0.038461538461538464
coverage_cvar,44,O1W,703,105,105,0,0,0.5029103608847497,0.5729442970822282,1.0,0.5985130111524164
