model,selected_feature,roc_auc,tree_average_precision,fp_average_precision,seed,fold
nested_single_feature,confidence_p90,0.8081983805668016,0.9400411066646024,0.4941948530726654,42,1
logistic_regression,,0.9166666666666667,0.9795878538950111,0.7619116814189855,42,1
instance_mlp,,0.9132928475033738,0.9790264909785211,0.7540106362434981,42,1
nested_single_feature,point_density_bbox,0.8451417004048584,0.9519747780378607,0.6160686734477654,42,2
logistic_regression,,0.8593117408906883,0.9596230713509635,0.6540706931758885,42,2
instance_mlp,,0.8906882591093118,0.9713880620181864,0.6426497298359717,42,2
nested_single_feature,point_density_bbox,0.8289473684210527,0.9471526258464774,0.5471516033052337,42,3
logistic_regression,,0.915991902834008,0.9781792984797737,0.7586755436015027,42,3
instance_mlp,,0.9062078272604588,0.9770432165695268,0.6997660089330445,42,3
nested_single_feature,point_density_bbox,0.8515240904621436,0.9597304408653666,0.6501821003282233,42,4
logistic_regression,,0.8895444116683054,0.969621833652804,0.7063219040788716,42,4
instance_mlp,,0.8793838085873483,0.964108034115642,0.6810852050710536,42,4
nested_single_feature,point_density_bbox,0.8989108236895847,0.9724018566102499,0.7426955226547735,42,5
logistic_regression,,0.9414567733151803,0.9861939213481609,0.816253295878277,42,5
instance_mlp,,0.9431586113002042,0.9856937380303118,0.8416945080520778,42,5
nested_single_feature,point_density_bbox,0.8299595141700404,0.9499272306551821,0.5450448311361712,43,1
logistic_regression,,0.9058704453441294,0.9760340803788371,0.7017681622448303,43,1
instance_mlp,,0.8873144399460189,0.9699594755742647,0.6398173533129875,43,1
nested_single_feature,confidence_p90,0.854757085020243,0.9558917803169125,0.590340528487543,43,2
logistic_regression,,0.8984480431848854,0.9737364052412147,0.7564788162076518,43,2
instance_mlp,,0.8890013495276654,0.9731903678591786,0.6846999733802239,43,2
nested_single_feature,point_density_bbox,0.8326585695006747,0.9500831521073589,0.5568285338980391,43,3
logistic_regression,,0.9207152496626181,0.9807636433478685,0.7746701130861338,43,3
instance_mlp,,0.938259109311741,0.9848933201171346,0.806508799436431,43,3
nested_single_feature,point_density_bbox,0.8803670927564733,0.9613260960057856,0.711849437954675,43,4
logistic_regression,,0.8954441166830547,0.9690500901725461,0.7172625861488118,43,4
instance_mlp,,0.8810226155358898,0.9697309365863005,0.6016873968173991,43,4
nested_single_feature,point_density_bbox,0.8669162695711368,0.9643426137056003,0.613413362820296,43,5
logistic_regression,,0.8982300884955752,0.9753012819287293,0.7145528692997897,43,5
instance_mlp,,0.9060585432266848,0.9759062980595863,0.7304411822550484,43,5
nested_single_feature,point_density_bbox,0.8350202429149797,0.9435006499434235,0.6379907769888706,44,1
logistic_regression,,0.8849527665317138,0.9675340415525752,0.7469792949757781,44,1
instance_mlp,,0.8997975708502024,0.9729257030604388,0.7742516522037397,44,1
nested_single_feature,point_density_bbox,0.823549257759784,0.9536946345223749,0.5493825529425832,44,2
logistic_regression,,0.8991228070175438,0.9744299771259519,0.6694666863774688,44,2
instance_mlp,,0.9116059379217274,0.9739989055023951,0.7409908681828346,44,2
nested_single_feature,point_density_bbox,0.8593117408906882,0.9566186323858105,0.6399175448497195,44,3
logistic_regression,,0.9143049932523616,0.979930758412451,0.737845741184589,44,3
instance_mlp,,0.8954116059379218,0.9670860814105101,0.747907330575653,44,3
nested_single_feature,point_density_bbox,0.9141265158964273,0.9752174495912315,0.7521197851302976,44,4
logistic_regression,,0.9196984595214684,0.9782313495350861,0.7988302689484991,44,4
instance_mlp,,0.7912159947558177,0.918119690566947,0.637778172809956,44,4
nested_single_feature,point_density_bbox,0.8730428863172226,0.9663407843630059,0.6413833417239507,44,5
logistic_regression,,0.9142273655547992,0.9742041172561235,0.8270705509638471,44,5
instance_mlp,,0.9206943498978897,0.9808784444115788,0.7000799089223257,44,5
