feature,auc,separability_auc,higher_for_tp,num_tp,num_fp,tp_median,fp_median,tp_mean,fp_mean
point_density_bbox,0.8610364476937964,0.8610364476937964,True,568,131,246.80261372085937,53.115012226523135,271.04665414033343,85.22081372417694
confidence_p90,0.8525360176325125,0.8525360176325125,True,568,131,0.855,0.805,0.8452288732394366,0.7890458015267175
base_vote_radius_rms,0.15984840339748413,0.8401515966025159,False,568,131,0.291978369713498,0.6879802020616567,0.36005717463931497,0.7393445134098137
confidence_mean,0.8208391570798839,0.8208391570798839,True,568,131,0.7433818629701812,0.6188402176514024,0.7241360712021254,0.5988079528902642
num_points,0.8190113966240189,0.8190113966240189,True,568,131,13116.5,2398.0,23799.482394366198,5932.824427480916
confidence_p10,0.8112366949790346,0.8112366949790346,True,568,131,0.595,0.295,0.5523943661971831,0.3400381679389313
offset_z_abs_mean,0.8106923986668099,0.8106923986668099,True,568,131,12.895397899759452,6.520452429733522,12.193474954974977,7.170444814921815
seed_confidence_mean,0.7987716374583378,0.7987716374583378,True,568,131,0.8037486235152699,0.7419333838574265,0.7889408741392402,0.6954976466597425
confidence_p50,0.7968363616815396,0.7968363616815396,True,568,131,0.785,0.705,0.7586091549295775,0.6381297709923665
semantic_probability_p10,0.7949884421029998,0.7949884421029998,True,568,131,0.995,0.745,0.9445422535211268,0.7585877862595419
seed_fraction,0.20550209654875823,0.7944979034512418,False,568,131,0.0279762862743168,0.0789333333333333,0.046394114689948134,0.11513436517628953
seed_confidence_p10,0.7929187721750349,0.7929187721750349,True,568,131,0.785,0.535,0.7361443661971832,0.535
semantic_probability_mean,0.791070852596495,0.791070852596495,True,568,131,0.9969199719516781,0.9267226761508836,0.9750379746488637,0.8689107924160627
seed_confidence_p50,0.7752392215890762,0.7752392215890762,True,568,131,0.805,0.795,0.8031866197183097,0.723473282442748
confidence_std,0.22817438985055372,0.7718256101494463,False,568,131,0.118733390073467,0.1798668475592064,0.12721813102343058,0.17863625205827585
semantic_probability_std,0.25270132243844745,0.7472986775615525,False,568,131,0.02560810960142065,0.0911979717161038,0.04296198012436196,0.09246161890500514
height,0.7371250403182454,0.7371250403182454,True,568,131,19.68999946117401,16.330000162124634,19.532658447419674,15.479618366551763
num_clustered_seeds,0.7277510482743791,0.7277510482743791,True,568,131,380.0,146.0,469.30105633802816,306.51145038167937
verticality_p90,0.7132969573164176,0.7132969573164176,True,568,131,0.935,0.885,0.9221654929577464,0.8690458015267175
seed_base_vote_radius_rms,0.2946726158477583,0.7053273841522417,False,568,131,0.12748314602414335,0.2003345706479216,0.17602737355374062,0.2825016287148527
seed_confidence_p90,0.6993065261799806,0.6993065261799806,True,568,131,0.825,0.825,0.8275880281690141,0.8042366412213741
semantic_probability_p50,0.6908598537791635,0.6908598537791635,True,568,131,0.995,0.995,0.9799999999999998,0.8799618320610687
seed_confidence_std,0.3112568541017095,0.6887431458982904,False,568,131,0.03353799309903985,0.1112040478483788,0.056781582737158054,0.11639682020573962
verticality_mean,0.6761100956886357,0.6761100956886357,True,568,131,0.5393606926419807,0.4699541763044504,0.5331797745481193,0.464241801870098
verticality_p50,0.6690947209977421,0.6690947209977421,True,568,131,0.565,0.465,0.5438732394366197,0.44576335877862605
verticality_p10,0.6353416299322653,0.6353416299322653,True,568,131,0.105,0.065,0.12183098591549296,0.09110687022900765
semantic_probability_p90,0.6113321148263627,0.6113321148263627,True,568,131,0.995,0.995,0.9907922535211268,0.9560687022900763
offset_xy_magnitude_mean,0.6026636920761208,0.6026636920761208,True,568,131,2.343309543694481,1.925475016416326,2.5034759699185503,2.127242622327124
offset_z_abs_std,0.5806499301150414,0.5806499301150414,True,568,131,3.3492124303753856,2.951616652471539,3.3652034766113146,3.1376314123997955
x_span,0.57487098161488,0.57487098161488,True,568,131,7.440000057220459,6.90000057220459,8.259753518413202,7.317862666062727
bbox_area,0.5528975378991506,0.5528975378991506,True,568,131,56.85927946872562,50.77249681949616,78.86779384868643,66.87056076729675
verticality_std,0.5405601548220621,0.5405601548220621,True,568,131,0.29629720788597547,0.2949852016547106,0.2941468963913266,0.28831161243933345
offset_xy_magnitude_std,0.5382082571766477,0.5382082571766477,True,568,131,1.2496968803693236,1.1871694380696254,1.2943297518516461,1.2669975333503403
y_span,0.5287469089345231,0.5287469089345231,True,568,131,7.710000991821289,7.5400004386901855,8.355757045280845,8.08748095704399
xy_radius_rms,0.527201376196108,0.527201376196108,True,568,131,1.8744414292416773,1.816981463611633,2.088556365034447,2.030474827343508
