threshold,retained_predictions,removed_predictions,tp,fp,fn,completeness,commission_error_rate,f1_score
0.0,371,0,156,5,0,100.0,3.1055900621118013,98.42271293375394
0.05,157,214,156,1,0,100.0,0.6369426751592357,99.68051118210862
0.1,156,215,156,0,0,100.0,0.0,100.0
0.15,156,215,156,0,0,100.0,0.0,100.0
0.2,156,215,156,0,0,100.0,0.0,100.0
0.25,156,215,156,0,0,100.0,0.0,100.0
0.3,156,215,156,0,0,100.0,0.0,100.0
0.35,156,215,156,0,0,100.0,0.0,100.0
0.4,156,215,156,0,0,100.0,0.0,100.0
0.45,156,215,156,0,0,100.0,0.0,100.0
0.5,156,215,156,0,0,100.0,0.0,100.0
0.55,156,215,156,0,0,100.0,0.0,100.0
0.6,156,215,156,0,0,100.0,0.0,100.0
0.65,156,215,156,0,0,100.0,0.0,100.0
0.7,156,215,156,0,0,100.0,0.0,100.0
0.75,156,215,156,0,0,100.0,0.0,100.0
0.8,156,215,156,0,0,100.0,0.0,100.0
0.85,156,215,156,0,0,100.0,0.0,100.0
0.9,151,220,151,0,5,96.7948717948718,0.0,98.37133550488599
0.95,144,227,144,0,12,92.3076923076923,0.0,96.00000000000001
1.0,0,371,0,0,156,0.0,0.0,0.0
