threshold,retained_predictions,removed_predictions,tp,fp,fn,completeness,commission_error_rate,f1_score
0.0,1862,0,568,131,309,64.76624857468643,18.741058655221746,72.08121827411168
0.05,696,1166,568,116,309,64.76624857468643,16.95906432748538,72.77386290839206
0.1,677,1185,568,102,309,64.76624857468643,15.223880597014924,73.43244990303815
0.15,667,1195,568,92,309,64.76624857468643,13.939393939393941,73.91021470396876
0.2,656,1206,568,83,309,64.76624857468643,12.749615975422426,74.3455497382199
0.25,643,1219,568,72,309,64.76624857468643,11.25,74.8846407382993
0.3,630,1232,568,60,309,64.76624857468643,9.554140127388536,75.48172757475085
0.35,618,1244,568,49,309,64.76624857468643,7.941653160453808,76.03748326639894
0.4,604,1258,568,35,309,64.76624857468643,5.804311774461028,76.75675675675676
0.45,586,1276,568,18,309,64.76624857468643,3.0716723549488054,77.64866712235133
0.5,568,1294,568,0,309,64.76624857468643,0.0,78.6159169550173
0.55,542,1320,542,0,335,61.80159635119726,0.0,76.39182522903452
0.6,520,1342,520,0,357,59.293044469783354,0.0,74.4452397995705
0.65,491,1371,491,0,386,55.98631698973774,0.0,71.78362573099415
0.7,451,1411,451,0,426,51.425313568985175,0.0,67.92168674698794
0.75,412,1450,412,0,465,46.97833523375142,0.0,63.92552366175329
0.8,329,1533,329,0,548,37.51425313568985,0.0,54.56053067993366
0.85,226,1636,226,0,651,25.769669327251993,0.0,40.979147778785126
0.9,108,1754,108,0,769,12.314709236031927,0.0,21.928934010152286
0.95,20,1842,20,0,857,2.280501710376283,0.0,4.459308807134894
1.0,0,1862,0,0,877,0.0,0.0,0.0
