source_plot,split,instance_id,target_class,target_max_iou,target_labeled_fraction,target_tree_point_fraction,target_is_edge,target_valid,target_classification_valid,num_valid_layers,errors
G4W,validation,551,positive,0.715533971786499,1.0,0.9541139006614685,True,False,False,7,
G3W,train,141,positive,0.8216783404350281,1.0,0.9029715061187744,True,False,False,7,
G4N,validation,132,ambiguous,0.45114055275917053,1.0,0.9087974429130554,True,False,False,8,
A1W,train,481,ambiguous,0.4789040982723236,1.0,0.7652257680892944,True,False,False,8,
O1W,validation,591,negative,0.003029803978279233,1.0,0.11032028496265411,True,False,False,4,
A1N,train,487,ambiguous,0.38217052817344666,1.0,0.845828652381897,False,True,False,8,
A1N,train,590,ambiguous,0.2982844412326813,1.0,0.9919246435165405,False,True,False,8,
G4W,validation,467,ambiguous,0.4791298806667328,1.0,0.9985697865486145,False,True,False,8,
G3N,train,457,ambiguous,0.464727520942688,1.0,0.4716538190841675,False,True,False,8,
G4N,validation,179,ambiguous,0.4292870759963989,1.0,0.9658768773078918,False,True,False,8,
G4N,validation,107,ambiguous,0.4517444968223572,1.0,0.9965387582778931,False,True,False,8,
G3W,train,49,ambiguous,0.49605533480644226,1.0,0.9713307023048401,False,True,False,7,
O1W,validation,569,ambiguous,0.45279210805892944,1.0,0.4865502715110779,False,True,False,7,
L1N,validation,631,ambiguous,0.40284934639930725,1.0,0.6679990291595459,False,True,False,5,
G4W,validation,202,ambiguous,0.4031836986541748,1.0,0.9987948536872864,False,True,False,8,
A1W,train,467,negative,0.01802540011703968,1.0,0.11205673962831497,False,True,True,7,
G1W,train,614,negative,2.48169744736515e-05,1.0,0.0014347202377393842,False,True,True,3,
L1N,validation,270,negative,0.002057680394500494,1.0,0.1916329264640808,False,True,True,5,
O1W,validation,154,negative,0.010126056149601936,1.0,0.47588977217674255,False,True,True,4,
L2W,train,235,negative,0.0,1.0,0.0,False,True,True,8,
G2W,train,520,negative,0.0002574135141912848,1.0,0.010518933646380901,False,True,True,4,
G2W,train,489,negative,0.0,1.0,0.0,False,True,True,8,
G2N,train,410,negative,0.023218341171741486,1.0,0.39874738454818726,False,True,True,8,
A1N,train,603,negative,0.04332539439201355,1.0,0.8730158805847168,False,True,True,6,
O1W,validation,309,negative,0.06803685426712036,1.0,0.4660194218158722,False,True,True,8,
L1N,validation,645,negative,0.0007059155614115298,1.0,0.06444444507360458,False,True,True,5,
G4N,validation,90,negative,0.0024639591574668884,1.0,0.062355659902095795,False,True,True,6,
G1W,train,84,negative,0.031189192086458206,1.0,0.34091421961784363,False,True,True,8,
G3W,train,387,negative,0.003529648995026946,1.0,0.22518159449100494,False,True,True,7,
G3W,train,433,negative,3.472945900284685e-05,1.0,0.002819548826664686,False,True,True,3,
G4N,validation,34,positive,0.8189321160316467,1.0,0.9869794249534607,False,True,True,8,
G3N,train,268,positive,0.9260601997375488,1.0,0.9981824159622192,False,True,True,8,
G4W,validation,73,positive,0.9041810631752014,1.0,0.9971887469291687,False,True,True,7,
G3N,train,3,positive,0.9431593418121338,1.0,0.9999347925186157,False,True,True,8,
G1N,train,102,positive,0.9086068868637085,1.0,0.9987326264381409,False,True,True,8,
L1N,validation,224,positive,0.9817376136779785,1.0,0.9967641830444336,False,True,True,7,
G1W,train,3,positive,0.8190718293190002,1.0,0.9995959401130676,False,True,True,8,
G3W,train,388,positive,0.9235195517539978,1.0,0.9989827871322632,False,True,True,8,
A1W,train,98,positive,0.9655619263648987,1.0,1.0,False,True,True,8,
LG2,train,318,positive,0.8489381074905396,1.0,0.9992586970329285,False,True,True,8,
L1N,validation,337,positive,0.8363850116729736,1.0,0.9969594478607178,False,True,True,8,
G2W,train,486,positive,0.9626901745796204,1.0,0.9992764592170715,False,True,True,8,
G2N,train,569,positive,0.9407436847686768,1.0,0.9986573457717896,False,True,True,8,
G4N,validation,19,positive,0.9436905384063721,1.0,0.9993870258331299,False,True,True,8,
O1W,validation,10,positive,0.5913569927215576,1.0,0.9989174604415894,False,True,True,8,
G4N,validation,256,positive,0.9209932088851929,1.0,0.989180862903595,False,True,True,7,
O1W,validation,100,positive,0.985266923904419,1.0,0.9997789263725281,False,True,True,8,
G4W,validation,448,positive,0.9534251093864441,1.0,0.9997328519821167,False,True,True,8,
O1W,validation,268,positive,0.7874470949172974,1.0,0.8228445053100586,False,True,True,8,
L1N,validation,114,positive,0.8862676024436951,1.0,0.9985383749008179,False,True,True,8,
