source_instance_id,target_instance_id,quality_score,dominant_gt_id,source_status
19,18,5.460914849209075e-07,50,unmatched_ignored
236,237,2.2554090719495434e-06,203,unmatched_ignored
239,320,1.6208377928705886e-06,60,fp_counted
261,262,1.7861091691884212e-05,93,unmatched_ignored
296,230,3.990933691966347e-06,196,unmatched_ignored
310,309,1.0932372784822064e-09,190,fp_counted
312,153,8.90913042894681e-07,92,unmatched_ignored
316,317,8.797591135589755e-07,88,unmatched_ignored
319,320,1.2786716979462653e-05,60,fp_counted
331,332,1.6545244534427184e-06,103,fp_counted
