source_instance_id,target_instance_id,quality_score,dominant_gt_id,source_status
24,17,1.8510762629375677e-06,105,unmatched_ignored
61,990,3.8950056477915496e-06,577,unmatched_ignored
144,427,2.886355332520907e-06,447,unmatched_ignored
157,156,1.7000776324493927e-06,599,unmatched_ignored
193,19,1.4256854683480924e-06,435,unmatched_ignored
449,989,3.901544914697297e-06,277,fp_counted
533,836,7.792526957928203e-06,372,unmatched_ignored
592,591,2.882429498640704e-06,249,unmatched_ignored
676,1320,2.8724647904709855e-07,309,unmatched_ignored
738,650,6.312550794973504e-06,866,unmatched_ignored
782,926,2.2197748421604047e-06,700,fp_counted
791,790,7.888326763350051e-06,428,unmatched_ignored
794,1026,3.201713525413652e-06,720,unmatched_ignored
813,812,1.5062572344959335e-07,97,fp_counted
878,877,8.141243768022832e-08,738,unmatched_ignored
910,923,6.09006519880495e-06,756,unmatched_ignored
916,1251,1.6967615579233097e-07,5,unmatched_ignored
947,982,1.311511397261711e-07,533,unmatched_ignored
971,970,6.427601420000428e-07,20,fp_counted
1023,1022,6.962251291042776e-07,511,unmatched_ignored
1080,1324,6.26665780600888e-07,801,fp_counted
1238,1239,1.455680830986239e-06,433,unmatched_ignored
1266,1169,6.906582417087748e-09,190,unmatched_ignored
1289,1288,3.666137445179629e-06,607,unmatched_ignored
1302,1301,1.0166975243919296e-06,758,unmatched_ignored
1340,1339,1.0927475102562312e-07,17,fp_counted
1348,714,6.328775725705782e-06,615,fp_counted
1349,714,1.6564804639074282e-07,615,fp_counted
1402,678,2.6189497930317884e-06,638,unmatched_ignored
1433,1174,3.952280621888349e-06,28,unmatched_ignored
1443,1686,3.2888499390537618e-06,676,fp_counted
1449,1597,3.5950829442299437e-06,809,unmatched_ignored
1460,1486,6.423395149113276e-08,414,fp_counted
1537,1536,4.326428552303696e-06,520,unmatched_ignored
1559,1558,1.705660451989388e-06,850,fp_counted
1580,1780,4.356723366072401e-06,877,unmatched_ignored
1595,1530,5.342655640561134e-06,432,unmatched_ignored
1599,71,7.108623378826451e-08,234,unmatched_ignored
1727,1834,8.366494057554519e-07,441,unmatched_ignored
1736,1686,4.915062618238153e-06,676,unmatched_ignored
1743,1828,5.163784635442425e-07,419,fp_counted
1799,1828,2.7477341291159973e-07,419,fp_counted
1824,1828,6.6022726059600245e-06,419,fp_counted
1829,1828,4.443175384949427e-06,419,fp_counted
