retained_predictions,total_predictions,retention_ratio_actual,tp,fp,fn,precision,completeness,commission,f1,retention_ratio_requested
186,371,0.5013477088948787,106,0,50,1.0,0.6794871794871795,0.0,0.8091603053435115,0.5
190,371,0.5121293800539084,107,0,49,1.0,0.6858974358974359,0.0,0.8136882129277566,0.51
193,371,0.5202156334231806,109,0,47,1.0,0.6987179487179487,0.0,0.8226415094339622,0.52
197,371,0.5309973045822103,110,0,46,1.0,0.7051282051282052,0.0,0.8270676691729323,0.53
201,371,0.5417789757412399,111,0,45,1.0,0.7115384615384616,0.0,0.8314606741573033,0.54
205,371,0.5525606469002695,112,0,44,1.0,0.717948717948718,0.0,0.835820895522388,0.55
208,371,0.5606469002695418,114,0,42,1.0,0.7307692307692307,0.0,0.8444444444444443,0.56
212,371,0.5714285714285714,117,0,39,1.0,0.75,0.0,0.8571428571428571,0.57
216,371,0.5822102425876011,119,0,37,1.0,0.7628205128205128,0.0,0.8654545454545455,0.58
219,371,0.5902964959568733,120,0,36,1.0,0.7692307692307693,0.0,0.8695652173913044,0.59
223,371,0.601078167115903,123,0,33,1.0,0.7884615384615384,0.0,0.8817204301075269,0.6
227,371,0.6118598382749326,125,0,31,1.0,0.8012820512820513,0.0,0.8896797153024911,0.61
231,371,0.6226415094339622,127,0,29,1.0,0.8141025641025641,0.0,0.8975265017667845,0.62
234,371,0.6307277628032345,129,0,27,1.0,0.8269230769230769,0.0,0.9052631578947368,0.63
238,371,0.6415094339622641,132,0,24,1.0,0.8461538461538461,0.0,0.9166666666666666,0.64
242,371,0.6522911051212938,135,0,21,1.0,0.8653846153846154,0.0,0.9278350515463918,0.65
245,371,0.660377358490566,137,0,19,1.0,0.8782051282051282,0.0,0.9351535836177475,0.66
249,371,0.6711590296495957,139,0,17,1.0,0.8910256410256411,0.0,0.9423728813559323,0.67
253,371,0.6819407008086253,140,0,16,1.0,0.8974358974358975,0.0,0.945945945945946,0.68
256,371,0.6900269541778976,141,0,15,1.0,0.9038461538461539,0.0,0.9494949494949495,0.69
260,371,0.7008086253369272,143,0,13,1.0,0.9166666666666666,0.0,0.9565217391304348,0.7
264,371,0.7115902964959568,146,0,10,1.0,0.9358974358974359,0.0,0.9668874172185431,0.71
268,371,0.7223719676549866,149,0,7,1.0,0.9551282051282052,0.0,0.9770491803278688,0.72
271,371,0.7304582210242587,151,0,5,1.0,0.967948717948718,0.0,0.9837133550488599,0.73
275,371,0.7412398921832885,153,0,3,1.0,0.9807692307692307,0.0,0.9902912621359222,0.74
279,371,0.7520215633423181,155,0,1,1.0,0.9935897435897436,0.0,0.9967845659163987,0.75
282,371,0.7601078167115903,155,1,1,0.9935897435897436,0.9935897435897436,0.0064102564102563875,0.9935897435897436,0.76
286,371,0.77088948787062,156,1,0,0.9936305732484076,1.0,0.006369426751592355,0.9968051118210862,0.77
290,371,0.7816711590296496,156,1,0,0.9936305732484076,1.0,0.006369426751592355,0.9968051118210862,0.78
294,371,0.7924528301886793,156,1,0,0.9936305732484076,1.0,0.006369426751592355,0.9968051118210862,0.79
297,371,0.8005390835579514,156,1,0,0.9936305732484076,1.0,0.006369426751592355,0.9968051118210862,0.8
301,371,0.8113207547169812,156,1,0,0.9936305732484076,1.0,0.006369426751592355,0.9968051118210862,0.81
305,371,0.8221024258760108,156,1,0,0.9936305732484076,1.0,0.006369426751592355,0.9968051118210862,0.82
308,371,0.8301886792452831,156,1,0,0.9936305732484076,1.0,0.006369426751592355,0.9968051118210862,0.83
312,371,0.8409703504043127,156,1,0,0.9936305732484076,1.0,0.006369426751592355,0.9968051118210862,0.84
316,371,0.8517520215633423,156,1,0,0.9936305732484076,1.0,0.006369426751592355,0.9968051118210862,0.85
320,371,0.862533692722372,156,1,0,0.9936305732484076,1.0,0.006369426751592355,0.9968051118210862,0.86
323,371,0.8706199460916442,156,1,0,0.9936305732484076,1.0,0.006369426751592355,0.9968051118210862,0.87
327,371,0.8814016172506739,156,1,0,0.9936305732484076,1.0,0.006369426751592355,0.9968051118210862,0.88
331,371,0.8921832884097035,156,2,0,0.9873417721518988,1.0,0.012658227848101222,0.9936305732484078,0.89
334,371,0.9002695417789758,156,2,0,0.9873417721518988,1.0,0.012658227848101222,0.9936305732484078,0.9
338,371,0.9110512129380054,156,2,0,0.9873417721518988,1.0,0.012658227848101222,0.9936305732484078,0.91
342,371,0.921832884097035,156,4,0,0.975,1.0,0.025000000000000022,0.9873417721518987,0.92
346,371,0.9326145552560647,156,4,0,0.975,1.0,0.025000000000000022,0.9873417721518987,0.93
349,371,0.9407008086253369,156,4,0,0.975,1.0,0.025000000000000022,0.9873417721518987,0.94
353,371,0.9514824797843666,156,4,0,0.975,1.0,0.025000000000000022,0.9873417721518987,0.95
357,371,0.9622641509433962,156,4,0,0.975,1.0,0.025000000000000022,0.9873417721518987,0.96
360,371,0.9703504043126685,156,4,0,0.975,1.0,0.025000000000000022,0.9873417721518987,0.97
364,371,0.9811320754716981,156,4,0,0.975,1.0,0.025000000000000022,0.9873417721518987,0.98
368,371,0.9919137466307277,156,5,0,0.968944099378882,1.0,0.03105590062111796,0.9842271293375394,0.99
371,371,1.0,156,5,0,0.968944099378882,1.0,0.03105590062111796,0.9842271293375394,1.0
